date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2025-11-03,2.1029277037878717,3.1862096200292283
2025-11-04,2.442292625929349,3.502885693789089
2025-11-05,2.5294739098499726,3.5840782573561416
2025-11-06,2.4455944667018827,3.499485989329055
2025-11-07,2.879831224539401,3.9627276148194865
2025-11-10,2.7195603462229223,3.790026533337843
2025-11-11,2.2228233697576516,3.270766446434885
2025-11-12,2.3794708415738457,3.4317943305254506
2025-11-13,2.4733034143378285,3.531897629485974
2025-11-14,2.518247667975402,3.5809985573384613
2025-11-17,3.3984011847012097,4.481410555054588
2025-11-18,3.9755868075173715,5.049230689237151
2025-11-19,4.474798630726262,5.5274807721250205
2025-11-20,4.946535006922617,5.933412335376108
2025-11-21,5.155431422592754,6.117845410597053
2025-11-24,5.042507751205353,6.015805529777732
2025-11-25,4.734563635098463,5.714305891917108
2025-11-26,4.153397134624151,5.139962594761746
2025-11-27,4.15339713462415,5.139962594761746
2025-11-28,3.642035960532426,4.64458510580607
2025-12-01,3.4871967799688477,4.500443612852985
2025-12-02,3.878303950270338,4.905133260861335
2025-12-03,3.642226546817325,4.661121465813313
2025-12-04,3.2819329456302873,4.294609330970875
2025-12-05,3.1383539439884673,4.1537485435950146
2025-12-08,2.831862294003512,3.860960108937903
2025-12-09,2.331467062152965,3.339315494226729
2025-12-10,1.805871293335029,2.8207106924105747
2025-12-11,1.9673828702165224,2.9877914173171836
2025-12-12,2.299997181942556,3.325211590730201
2025-12-15,2.6468049407846843,3.6938631120774494
2025-12-16,2.9075303990207173,3.9618512117886278
2025-12-17,3.164197589458297,4.221269977308895
2025-12-18,3.0933615044106224,4.150471268566894
2025-12-19,3.059693689842915,4.123818448082246
2025-12-22,3.7515530689305066,4.861313241532486
2025-12-23,4.322698769414199,5.4571926711254575
2025-12-24,4.527368977816914,5.677764646478922
2025-12-25,4.527723771258189,5.654877786058244
2025-12-26,4.5402550247701,5.666666645406757
2025-12-29,4.4320081580421125,5.560414933085465
2025-12-30,4.308085796307412,5.4410856456972585
2025-12-31,3.8355263455871205,4.955170050240734
2026-01-01,3.5444714786303075,4.6535780996447755
2026-01-02,3.4024846213251085,4.518597511990288
2026-01-05,3.2172872256296494,4.357681351308643
2026-01-06,3.2020848199205107,4.343928901782339
2026-01-07,3.015506358937233,4.163162601755572
2026-01-08,2.747688964852818,3.883564410875585
2026-01-09,3.2921486099489745,4.420058836055677
2026-01-12,3.5471548883345476,4.6847793862814235
2026-01-13,3.763063877680919,4.891818727682863
2026-01-14,4.104260464922762,5.247657535557051
2026-01-15,4.641165081137889,5.794000406581925
2026-01-16,4.506441800180049,5.658213504213216
2026-01-19,4.68405782334266,5.828756280935737
2026-01-20,4.828687822561347,5.977165479664899
2026-01-21,4.797979720167275,5.949053376783931
2026-01-22,4.6405458083869116,5.817832443404316
2026-01-23,4.479733825218765,5.6618361799262225
2026-01-26,4.611674425264041,5.78731141944354
2026-01-27,4.436757555797206,5.638491212042816
2026-01-28,4.463375119003539,5.667720679447097
2026-01-29,4.229571340127761,5.411808127881113
2026-01-30,3.7822524994234463,4.993910587129757
2026-02-02,3.1566769042544114,4.362714736283116
2026-02-03,3.2994518582779784,4.510198378901915
2026-02-04,3.8773454020491878,5.035315483285823
2026-02-05,4.531529615727793,5.654381916049397
2026-02-06,5.249616113804467,6.405305313895945
2026-02-09,5.56653858020169,6.710949886041198
2026-02-10,5.938580811892088,7.08293149498908
2026-02-11,6.050314181947593,7.194543539547872
2026-02-12,5.809280887010687,6.964950348520949
2026-02-13,5.297516822167756,6.458802182421284
2026-02-16,4.925715458431649,6.088241343543061
2026-02-17,4.475760296905678,5.747633616364413
2026-02-18,4.248737798024317,5.575618100860897
2026-02-19,3.9613407326697496,5.292946256250655
2026-02-20,3.9645993677406337,5.293671296594083
2026-02-23,4.14005795439762,5.466512428760362
2026-02-24,3.8772822659451243,5.206655539218747
2026-02-25,4.397918827777933,5.717397179641108
2026-02-26,3.8002825067478545,5.079070131836773
2026-02-27,3.3247368147645773,4.581439531112027
2026-03-02,3.3520532871867905,4.621650503869501
2026-03-03,4.075201622248897,5.341916047384937
